"","PERMCO","GVKEY","SECID","start_date","end_date"
"513","10953","024079","7295",1991-05-31,1995-01-17
"514","10954","024232","105527",1991-06-04,2015-12-31
"515","10955","024093","7297",1991-06-04,1999-12-22
"516","10957","024103","7298",1991-06-05,1996-12-17
"517","10959","024099","106945",1991-06-05,2015-12-31
"518","10960","024101","109452",1991-06-05,2004-10-21
"519","10961","024100","107478",1991-06-05,2002-04-25
"520","10962","024096","102959",1994-12-27,2015-12-31
"521","10963","024106","102650",1991-06-06,1999-01-21
"522","10965","024110","105888",1991-06-06,2007-01-29
"523","10967","024105","101606",1991-06-06,2004-11-22
"524","10968","024113","108733",1991-06-07,2015-12-31
"525","1097","002870","102866",1972-12-14,2012-06-27
"526","10970","024167","7303",1991-06-11,1998-10-15
"527","10971","024170","7304",1991-06-11,1999-01-13
"528","10975","024179","105152",1991-06-13,2009-01-07
"529","10977","021673","102351",1991-06-14,2007-04-23
"530","10979","024185","101408",1991-06-18,2003-03-25
"531","10980","024186","108564",1991-06-18,2007-06-13
"532","10982","024188","7305",1991-06-19,1998-06-15
"533","10983","024187","105187",1991-06-19,2000-06-23
"534","10984","024193","7307",1991-06-20,1999-01-28
